"Topic ID","Highest Ranking"
"0","vaccineret, vaccinationen, forældre, vaccinationer, årige, vaccinen, vaccination, kræftvaccine, vaccinationerne, vaccinationsprogram"
"1","livmoderhalskræft, måske, forebyggelse, gør, kræftform, længere, kræftformen, seneste, modtager, hvad"
"2","sundhedsstyrelsen, sundhedsstyrelsens, lægeforeningen, forældre, vaccinationsprogrammet, vaccinerne, kræftsygdom, analkræft, sundhedsvæsenet, kræfttilfælde"
"3","kræft, livmoderhalsen, kræften, halskræft, livmorhalskræft, kræftforskning, kræfttilfælde, celleforandringer, mænd, kræftfremkaldende"
"4","hpv, vaccine, vaccination, papillomavirus, gratis, vaccinationen, mænd, på, seksuelt, tilfælde"
"5","bivirkninger, hovedpine, svimmelhed, sygdom, undersøgt, træthed, indberetninger, vaccinen, sundhedsudvalget, sygdomme"
"6","kvinder, kvinderne, ældre, årige, kræftvaccine, kvinde, livmoderhalsen, celleforandringer, livmorhalskræft, vaccination"
"7","bekæmpelse, kræftens, kræftsygdom, kvinder, kræftform, vaccine, højeste, undersøgelse, kræftvaccine, bekæmpelses"
"8","undersøgelse, undersøgelsen, undersøgt, livmoderhalsen, undersøgelser, kvinderne, gynækologisk, celleforandringer, undersøge, sundhed"
"9","sygdommen, sygdom, sygdomme, årsagen, kræften, sundhed, kræftform, sygdommens, kønssygdommen, desværre"
"10","læger, lægerne, sygdomme, sundhedsvæsenet, overlæger, lægernes, sundhedsvæsen, lægefaglige, lægemiddelstyrelsen, undersøgelser"
"11","vaccinen, godkendt, vaccinationsprogrammet, vacciner, vaccinationsprogram, sundhedsmyndigheder, biotekselskab, vaccineplatform, virker, vaccinationer"
"12","også, årige, drenge, gør, politiken, gratis, ifølge, hvorfor, mænd, sidste"
"13","vaccinerede, hpvvaccinen, vaccinerne, undersøgelsen, færdigvaccinerede, videnskabelige, færdigvaccineret, hpv, højere, lægeforeningen"
"14","sundhedsminister, sundhedsministeren, sundhedsordfører, vaccinationsprogrammet, kræftvaccine, sundhedsministeriet, sundhedsudvalg, livmorhalskræft, ministeren, sundhedsmyndighederne"
"15","kønsvorter, analkræft, kønssygdomme, sygdomme, børnevaccinationsprogram, sexsygdomme, indført, klamydia, peniskræft, hvorfor"
"16","kræftformer, kræftsygdom, kræfttilfælde, brystkræft, kræftsygdomme, kræftform, tarmkræft, lungekræft, kræftpatienter, endetarmskræft"
"17","børnevaccinationsprogrammet, børnevaccinationsprogram, vaccinerne, analkræft, lægemiddelstyrelsen, kræftvaccine, vaccinationen, vaccinationer, hpvvaccinen, kræftform"
"18","læge, lægen, lægerne, sundhed, sundhedsvæsenet, kræften, sygdom, sundhedsvæsen, gør, lægeforeningen"
"19","overlæge, sundhedsstyrelsens, overlægen, gynækologisk, videnskabelig, styrelsen, gynækologi, speciallæge, forebyggelse, overlæger"
