,0_mundsvælgkræft_mundkræft_mundsvælgskræft_mundhulekræft,1_usikkerhed_kræftvaccination_bekymret_bekymrende,2_screeningsalderen_age_gennemsnitsalderen_old,3_hovedhalskræft_livsmoderhalskræft_livmoderhalskræften_kræftforskningen,4_ungdommen_forskningsarbejde_forskningssamarbejde_forskerne,5_skuespillere_skuespiller_skuespillerinden_skuespilleren,6_livmoderhalskræftscreening_screeningsundersøgelse_screeningstest_screeningsundersøgelser,7_livmoderhalsen_livmoderhals_livmoderhalskraft_livsmoderhalskræft,8_cost_omkostning_omkostninger_kosten,9_livmoderhalskræftkoster_finanslovsforslaget_finanslovsforhandlingerne_finanslovsudspillet,10_bivirkningsindberetninger_bivirkningskomitéen_bivirkningskomité_hovedpine,11_livmoderhalskræftkoster_underlivskræft_hpvtest_livmoderhalskraeft,12_kræftvaccinen_kræftforsker_kræftforskere_kræftvacciner,13_pigernesresultatet_vaccinationsprocenten_vaccinationsprocent_antallet,14_bavarian_nordicbavarian_bavariannordic_bava,15_kræftdødsfald_kræftplanen_kræftplan_kræfthandlingsplan,16_kønsvorter_kønsvorte_livmoderhalskræftkoster_kønsvorter2,17_proof_hpvtest_bevis_evidence,18_kønsvorterne_kønsvorter_kønsvorte_kønsvorter2,19_højteknologifonden_kampagneekspert_pseudovidenskab_forskningschef
0,0.16219346,-0.49100718,-0.110456795,1.2369703,-0.10665484,0.48062426,0.2180723,-1.3434787,0.56780773,1.1662745,-0.7258665,0.26600146,-0.5872883,-0.6272463,-0.098097265,-1.0278382,1.2035266,0.5311995,3.4567542,1.2662783
1,-0.44463068,1.0868795,-0.62166375,0.7289046,0.6472219,0.7302297,-1.325243,-0.07815905,0.88749754,0.19876395,0.8989926,0.012302692,0.65406543,-0.23430534,-0.05080876,0.16518527,-0.27123153,0.77172726,1.173905,-0.23326379
2,-0.09076416,0.2959037,1.4163243,0.70727575,-0.16258435,-0.06439873,-0.37367374,-0.9729789,2.6543045,1.4989393,-1.1474009,1.1329116,-1.6794757,-0.42808762,0.4519651,-0.62811196,-0.43095168,0.8383308,0.74986094,0.9381683
3,-0.46656418,-0.5240835,-0.21121836,-0.039843135,-0.337654,0.19426619,-1.4897164,0.30183697,1.3250382,1.4324492,0.16199236,1.0616776,-0.8390614,0.0024577451,-0.31139576,-0.028521543,0.38005298,1.7406545,-0.7111974,1.5711874
4,-0.92108357,0.124530025,1.0198456,0.21103859,0.7411274,1.8700703,0.5472304,0.05477533,0.7968275,1.2419473,-0.90325725,-0.4571098,-0.76488096,-0.1606052,-0.5979558,-0.77761465,1.8437515,0.6210483,0.64474654,0.22258145
5,-1.3969988,0.23327965,-0.20325732,0.008601337,0.63089347,-0.3966426,-1.0716602,0.16924615,1.1186424,1.0419987,-1.4273835,0.82643974,-1.0588313,-1.3623502,-0.5061109,-0.037074786,-0.2730333,0.4008952,-1.3668156,0.45831037
6,-0.31630144,0.47216442,0.49457514,0.12951699,-0.45134893,-0.49420995,-0.6980422,-2.6150887,-0.8993313,0.6022735,-0.45879617,0.15996706,-0.3976904,0.10545478,-0.4785352,0.042274754,1.0649357,-0.9235287,-0.51965284,-0.020018624
7,-0.33990943,0.77420443,0.22011006,-0.66911024,0.84291935,0.01042622,-0.46652094,-0.24830933,1.0114028,0.14161304,-0.6825816,0.65343404,-0.13313192,-1.5570107,-0.24273431,-1.4993697,-0.4259556,-0.89759225,-0.3298846,0.4681874
8,0.87115395,0.6837757,1.5000757,0.2750508,-0.34832156,-0.19195627,-1.0622292,-2.1669273,0.17605056,2.3169906,-0.4105835,0.2766799,-0.08587018,0.01769041,-0.74438834,0.28775436,1.4282813,-0.27878267,-0.5983907,-0.19170965
9,-0.6560707,-0.3464744,0.1536516,0.02202966,1.2238218,-0.8155155,-0.62209713,-1.5285754,0.38480946,-0.10822982,-0.8812284,-0.8511002,-1.5841768,-2.1453195,-0.7440563,-0.87985295,0.7192787,-0.90430486,0.775905,0.2689515
10,0.7420811,2.905925,-1.5083222,1.0110579,-0.0022762695,-0.3501115,-0.14432988,-0.97322834,-0.34826505,0.34645683,-0.28525382,0.28276148,1.2557632,-1.2607228,-0.38273114,0.6031789,0.71786845,0.21045835,1.5799735,0.0072405087
11,-0.58692545,0.010524961,0.6188188,0.34433746,-0.23782958,-0.65190274,-0.7748054,-2.834329,-0.6223581,0.7307209,-0.43741584,0.1349098,-0.65296644,0.37678415,-0.27414304,0.014680822,0.7406279,-0.7776072,-0.38945055,-0.17265175
12,-0.42796916,0.1262769,0.6118604,0.0997726,0.7711708,-0.16321358,0.17787157,-0.034061696,-0.84208614,0.36680496,-0.26443675,-0.03818664,-1.0357784,1.8773522,-0.090300396,-0.6328231,-1.3200116,-1.8145807,0.15915208,0.14654186
13,-0.13884518,-0.39852834,1.4350265,0.09358274,-0.48029953,-0.6981194,-1.003615,0.9385674,-1.8407174,1.4386086,-0.31261235,0.4178118,-0.040462963,0.040905755,-0.42640156,0.112806015,-1.3814782,-0.9662495,-1.32837,0.5270831
14,0.56122845,-0.7489702,-0.19225134,0.34390065,1.0851454,0.30735075,-0.47943565,0.5041517,-0.6887306,0.9938552,-0.109133005,-0.58995175,4.8672686,-1.3123941,0.2128288,0.3301945,0.779911,-0.09809657,-0.14549053,0.90810716
15,1.2052883,0.77772754,0.30126682,0.9636788,-0.43040976,0.19202803,-0.05775293,-0.75801766,-2.6613395,0.6128719,-0.4784795,-0.47332886,0.84383905,-0.3720601,-0.10249146,0.059674956,-0.1905418,-0.7987314,1.4768397,0.27014458
16,0.8593828,0.7724001,-1.0795337,-0.21091147,0.97294897,1.0403085,-0.40004972,0.30476773,-0.47825554,0.18919371,-0.18650559,-0.09112357,0.5695238,-0.55226004,-0.42932823,3.1972682,0.62461394,0.00072262285,-0.58909726,-0.2448618
17,-0.71248317,-0.13629267,0.5942372,1.0355376,0.29215884,-0.28953767,-1.3783747,1.702008,-0.5329378,-0.37601268,-0.95797205,0.7274919,0.29992086,2.0114274,-0.27956256,0.85142386,-1.5173471,-1.111645,0.24087474,-0.79020333
18,-0.08364403,0.9367176,0.6041497,-0.30237538,-0.23492438,0.20069388,-0.15048088,-2.699658,-0.6117464,-0.45386797,-0.60821784,-0.31498587,-0.575094,-0.024282116,-0.4371435,-0.76850975,-0.17714442,0.3731977,-1.5870588,0.68886864
19,-0.73719126,-0.002112376,0.17945659,0.16512752,0.17801756,-1.3334062,-0.68795735,-0.08500101,2.1299672,2.3114858,-0.66012686,-0.13724798,0.18153074,-0.6809332,-0.7380481,0.7440717,0.8495854,0.09349811,-0.9881049,0.26438874
20,-0.71563846,-0.55423814,-0.25924373,1.5028796,0.73834217,0.30450705,-0.9082473,-0.86649716,1.1251541,1.1095486,-0.81293315,1.159997,-0.5425989,0.03305535,-0.7783396,-0.82519615,0.68060386,-0.36179972,-0.232582,-1.4947003
21,-0.39952847,1.3424591,0.0788883,-0.32408494,0.7047439,-1.0915453,-0.97122246,0.40976256,0.37952107,1.5884284,-0.7916612,0.7502361,0.04254315,0.28915536,0.025468493,-0.23114881,-0.03587122,-0.282646,-0.7485596,-0.335013
22,0.015372941,-1.0334016,0.07377495,-0.30849612,0.4779813,2.6708329,-0.2663401,-0.10746035,0.1149677,0.9713984,0.01915241,-0.5455097,-0.10996033,0.5502041,0.31700647,0.39800203,-1.3699828,0.20460434,-0.42961794,0.4844652
23,-0.15289211,0.81274754,1.9302492,0.6875426,0.34892005,-0.09367528,2.0181353,0.24325557,0.7566784,0.30183998,-0.9315037,-0.40118873,-0.85469836,0.4490613,0.27230594,-0.08790178,-0.8734606,-0.051752914,-0.5613072,0.46491504
24,0.6085114,-0.63597393,-0.70264196,1.480344,-0.32955676,0.7756225,-0.15974961,-0.30729285,2.0349114,4.607615,0.84448755,0.74206173,-0.11316361,-0.54852384,0.34889156,-0.21436357,1.2355096,0.99743253,0.92558974,1.4127574
